ISIN	Currency	Total Buy Count	Total Sell Count	Total Buy Quantity	Total Sell Quantity	Weighted Average Buy Price	Weighted Average Sell Price	Max Buy Price	Min Sell Price
GB00B0744B38	GBX	1439		151609		2655698.540324123		281700000.0	
GB00B082RF11	GBX	1947		1009030		93337.88886356204		48390000.0	
GB00B0H2K534	GBX	128		325020		3948.1724201587595		5025000.0	
GB00B0LCW083	GBX	1696		217410		1453312.175152937		17154545.454545453	
GB00B0N8QD54	GBX	250		106571		178665.39677773503		76500000.0	
GB00B0SWJX34	GBX	1671		78999		15175495.892353067		143840000.0	
GB00B0WMWD03	GBX	199		204752		29438.63796202235		30540000.0	
GB00B0YG1K06	GBX	138		343124		2954.8209976568237		3620000.0	
GB00B10RZP78	GBX	2460		327517		2580035.540139901		70000000.0	
GB00B11V7W98	GBX	212		123387		155996.17463752258		961052.6315789474	
GB00B128J450	GBX	126		575952		1773.5158485429342		7980000.0	
GB00B132NW22	GBX	168		252657		14864.183458206184		263529.4117647059	
GB00B135BJ46	GBX	93		23536		447667.4031271244		4973913.043478261	
GB00B14SKR37	GBX	182		385455		10596.308259070449		1083333.3333333333	
GB00B15FWH70	GBX	104		689539		474.2733913527734		40423.07692307692	
GB00B17BBQ50	GBX	756		312305		91150.12567842334		1621304.347826087	
GB00B17MMZ46	GBX	123		299981		3495.388041242612		1698000.0	
GB00B188SR50	GBX	253		902543		4374.838650346854		21138.211382113823	
GB00B19NLV48	GBX	1572		187157		2381023.418840866		28190000.0	
GB00B19Z1432	GBX	170		184598		17063.56515238518		72720.30651340996	
GB00B19Z2J52	GBX	310		1301986		1775.6028098612428		7023.2558139534885	
GB00B1CKQ739	GBX	129		38622		347348.661384703		3470000.0	
GB00B1CRLC47	GBX	1494		261632		779461.036876223		12222727.272727273	
GB00B1FH8J72	GBX	1540		151088		2891516.8643439584		6388888.888888889	
GB00B1FP6H53	GBX	102		117805		18465.260387929204		338412.6984126984	
GB00B1FW5029	GBX	194		445328		5274.4044838860345		187727.27272727274	
